Character,Betweenness Centrality,PageRank,Degree
Utherydes Wayn,0.00010214977712295488,0.000790113789865428,0.034220532319391636
Maester Vyman,1.0610832262287638e-05,0.0006857155668244638,0.015209125475285171
Maester Cressen,0.0003478897749270556,0.000868273379427433,0.028517110266159697
Patchface,0.0007218039335692053,0.0012859296164456412,0.04182509505703422
Dalla,0.00042542317038675806,0.0014573551648491996,0.03231939163498099
Steffon Baratheon,0.0007751354472918171,0.0006896517505120426,0.026615969581749048
Cassana Estermont,1.8106101756291871e-06,0.000528871826265796,0.009505703422053232
Davos Seaworth,0.005480878315701703,0.0035013790292595767,0.055133079847908745
Salladhor Saan,0.00025472031275198604,0.0010512537518121957,0.026615969581749048
Guncer Sunglass,0.0,0.00048633439526743775,0.011406844106463879
Melisandre,0.009983159190201955,0.004270173342163685,0.09315589353612168
Ardrian Celtigar,0.0005018565412728023,0.0007410367860313474,0.026615969581749048
Axell Florent,0.0003676379566846985,0.001569868241799804,0.03612167300380228
Lommy Greenhands,2.0812106718314958e-05,0.0009090437774517153,0.017110266159695818
Hot Pie,0.00044330032667453854,0.002135317381046334,0.043726235741444866
Lollys Stokeworth,0.00015677635991519497,0.0012286436773684337,0.039923954372623575
Falyse Stokeworth,4.05244195685437e-05,0.000889792916996534,0.034220532319391636
Ermesande Hayford,2.3726863988609978e-05,0.00044567964672850575,0.017110266159695818
Septon Chayle,6.683165458917937e-05,0.0006722187033991493,0.034220532319391636
Alebelly,6.524495803718473e-05,0.0005071495197655448,0.019011406844106463
Black Walder,0.00021994054005062863,0.0019479675697436595,0.060836501901140684
Walder Rivers,0.0018821247680106264,0.0018386199773383072,0.0779467680608365
Palla,6.871698835935833e-05,0.0007393369949038987,0.03612167300380228
Jaqen H'ghar,0.000266160170635042,0.001209671290981373,0.022813688212927757
Rorge,0.0008202471057900082,0.0020984714601419716,0.045627376425855515
Biter,0.00039843238473089904,0.0013921999812920981,0.03612167300380228
Hop-Robin,1.533350370559673e-06,0.0006500114532313267,0.015209125475285171
Arron,5.954154086892751e-05,0.0010239076020330316,0.04182509505703422
Emrick,5.954154086892751e-05,0.0010239076020330316,0.04182509505703422
Satin,0.0006421579201619557,0.002157963805754534,0.06463878326996197
Thoren Smallwood,6.808208151943879e-05,0.0011272450536747203,0.03231939163498099
Aegon IV Targaryen,0.01046741668558465,0.0022896102613884388,0.013307984790874524
